symbol,name,totalVolume
deadjira,DeadJira,831947800
bitcoin-toadz,Bitcoin Toadz,831678000
pepe-pepita,Pepe & Pepita,830839165
remnantsofadistantsupernova,Remnants by Nullish,828193670
genesis-parcels,Bitmap Community Genesis Parcels,816918400
pixel-panda-wars,Pixel Panda Wars Genesis Edition,811397800
retordinals,Retordinals,803447686
domoducks,DomoDucks,799690338
sats-hunters,Sats Hunters,798362490
lil-sapos,Lil Sapos,796699770
bitcoin-flowers,Bitcoin Flowers,795778100
unicrossgenesis,UniCross Genesis,795243900
farcana-on-ordinals,Farcana on Ordinals,792917717
sack-o-ket,Sack O' KET,791279507
bitmon,BitMON,789830850
fine_pepes,Fine Pepes,779956786
btcwc-toilet,BTCWC.Toilet.OG,776678368
69frogs,69 Frogs,764856820
dmt-unatpepe,DMT-UNATPEPE,759199062
shitcoiners,Shitcoiners,755039079
deus-ex-machina-by-cybersea,Deus Ex Machina by CyberSea X Vivid Gallery,752396901
manufactured-by-lemonhaze,Manufactured by Lemonhaze,739509997
evilord,Evilord,732631759
the-prophecy,THE PROPHECY,731964096
thordinals,THORdinals,730164558
trump-bitcoin-trading-cards,Trump Bitcoin Digital Trading Cards,726742600
blused-skullz,Blursed Skullz by XSULLO,726016000
dmtnatpunks,Natpunks,724174116
brc1024_rootverse,BRC1024 Rootverse ,719607303
fmo,Full Moon Ordinals,715970832
sparks,Sparks,715125950
approved_by_garee,FIAT MAFIA,689902469
runeratscoin,Rune Rats,680914335
artinals,Artinals,679874376
wizardz,wizardz,671536338
pizzaaliens,Pizza Aliens,660833996
terrains,TERRAINS by ThankYouX,660832999
glyphs,Glyphs,654368074
ordillas,Ordillas,641911208
rmm2,Rune Mania Miner Season 2,638840325
darkman,Darkman - Shell Genesis NFT,636024330
titan_meka,Titan Meka,634338950
pixel-panda-wars-chapter2,Pixel Panda Wars Chapter 2,633070000
planetary-ordinals,Planetary Ordinals,629010000
wizords,WizOrds,626327548
machine-computation-claimed,CLAIMED Machine Computation,623526873
wooof,WOoOF,621684033
omen,OMEN,620572597
bitcoin_skellies,Bitcoin Skellies,616781448
niftypass,NiftyPass - BitcoinComics OG Pass,604707000
classifiedcartelcc,CLASSIFIED (CC),596687441
stones,STONES,596198731
btcremiliobabies,BTC REMILIO BABIES,593969060
monkes21,Monkes Twenty One / Monkes21,593174508
nodetrump,NodeTrump,589707193
toshians,Toshians,585787900
bitcoin-foodie,Bitcoin Foodie,584990600
anti-virus,ANTI VIRUS,583433046
wizzy,Wizzy,581578958
taproot_punks,Taproot Punks,581037380
xcpinata,Xcpinata,574624400
ordinaleggs,Ordinal Eggs,565497550
machine-computation,Machine Computation,560661434
domain_dot_sats,Sats Names,558973847
pob,PepeOrdinalsBiz,557068055
snappy_cocos,Snappy Coco´s,555689719
cursedbitcoinpunks,Cursed Bitcoin Punks,553889654
noonesees_,NoOneSees: Runestone,550024805
ghostxxx,GhostXXX,547166884
runego,RuneGo,545744109
dog_of_bitcoin,$DOG | Ordinals - SZN I Genesis,540119475
quantumrats,Quantum Rats,539979399
boldinals,boldinals,535843990
ordinal-birds,Ordinal Birds,530780100
bitx_runes_dex,............,530537900
mac-cheese-5,French PFP,520439080
vgp,Van Gogh's painting,507129000
block-out,BlockOut,504334396
spyre,Spyre,503609000
glyph,GLYPHS,500232762
frontline,Frontline,493473883
trumpuppets,Trumpuppets,493184750
mementomori,Memento Mori by Richard Nadler,491098378
realbitamigos,Bitamigos,485060678
bitcoin-pandas,Bitcoin Pandas,482915824
dmt_shrooms,DMT Shrooms,476547834
btc_mechanics,Bitcoin Mechanics,475497221
akitamia,Akita Mia,473661915
bixels,Bixels,472265170
biz,BitZoo Ordinals,468327090
bitcoin-punks-i2,BITCOIN PUNKS I2,467097506
bitcoin-maxis,Bitcoin Maxis,463018859
ordinaltulips,Ordinal Tulips,457187595
btc-land,BTC Land,456030622
bitlendlightpass,Bitlend Light Pass,455740029
champions,IMSO: Champions,453047793
chef_of_runes,Chef of Runes 🔥,452692198
katoshi-classic,OCM Katoshi Classic by OnChainMonkey®,450806053
budgie,Bitcoin Budgie,450267000
ordinalcodes,Ordinal Codes,448978288
lil-bits,Lil' Bits,448352874
bitcoin-reapers,Bitcoin Reapers,446599932
yunabrc,Yuna Revelation,446461408
pumpitboys,Pump it Boys,444287313
thissongaboutnfts,This Song About NFTs,443939080
chatfukr,chatFUKR,443314945
perceptrons,Perceptrons,439080299
nexusepoch,Nexus Epoch,436336889
pepega,Pepega,435566722
moon,Ordinal Diamonds 2.0,435112310
pixel_puppets,Pixel Puppets,433521789
taprootpuppets,Taproot Puppets,433169198
bdmonkeybtc,Bitcoin Develop Monkey,432216500
monoliths,Monoliths by OTO,431601190
runeflex,Gems by Runeflex,431216039
rising-echoes-by-medusa,Rising Echoes by Medusa x Vivid Gallery,429343900
obsidians,OBSIDIAN by memphis,427579771
